Reviewed	Classification	UniProt	Title	PDB chain IDs
FALSE	4.2	Q9I574	Q9I574 Membrane-bound lysozyme inhibitor of C-type lysozyme OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=mliC PE=1 SV=1	3f6zB
FALSE	3.2	A7M397	A7M397 Uncharacterized protein OS=Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / BCRC 10623 / CCUG 4943 / NCTC 11153) OX=411476 GN=BACOVA_04585 PE=1 SV=1	4fs7A
FALSE	4.4	P27907	P27907 Neuraminidase OS=Influenza B virus (strain B/Beijing/1/1987) OX=11525 GN=NA PE=1 SV=1	1a4qA,1nsdA,1nsdB
FALSE	3.6	Q9WYA0	Q9WYA0 Beta sliding clamp OS=Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8) OX=243274 GN=TM_0262 PE=1 SV=1	1vpkA
FALSE	3.3	P40509	P40509 Coatomer subunit epsilon OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC28 PE=1 SV=2	3mv2B,3mv2D,3mv2F,3mv3B,3mv3D,3mv3F,6u3wB
FALSE	3.1	G3XD76	G3XD76 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=dapD PE=1 SV=1	3r5aE
FALSE	3.3	P52292	P52292 Importin subunit alpha-1 OS=Homo sapiens OX=9606 GN=KPNA2 PE=1 SV=1	3fexC,3feyC,3wptA,3wptB,4e4vA,4e4vB,4wv6A,5h43A
FALSE	3.4	Q9CR50	Q9CR50 RING finger and CHY zinc finger domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rchy1 PE=1 SV=1	2dktA
FALSE	3.3	Q7SIG6	Q7SIG6 Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 OS=Mus musculus OX=10090 GN=Asap2 PE=1 SV=3	1dcqA
FALSE	5.3	Q07230	Q07230 Zinc finger and SCAN domain-containing protein 2 OS=Mus musculus OX=10090 GN=Zscan2 PE=1 SV=1	2i13A,2i13B
FALSE	3.6	Q77ZG5	Q77ZG5 Core gene UL42 family protein OS=Human herpesvirus 8 OX=37296 GN=ORF59 PE=1 SV=1	3hslX
FALSE	4.4	Q72U69	Q72U69 Antigen Lp49 OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar copenhageni (strain Fiocruz L1-130) OX=267671 GN=orfC PE=1 SV=1	3bwsA,3bwsB
FALSE	4.2	A0A493R6X0	A0A493R6X0 Afifavidin OS=Afifella pfennigii OX=209897 PE=1 SV=1	6hdvA
FALSE	4.1	P83825	P83825 N-(5'-phosphoribosyl)anthranilate isomerase OS=Thermus thermophilus OX=274 GN=trpF PE=1 SV=1	1v5xA,1v5xB
FALSE	3.2,4.2	P18902	P18902 Retinol-binding protein 4 OS=Bos taurus OX=9913 GN=RBP4 PE=1 SV=1	1erbA,1felA,1femA,1fenA,1hbqA,1kt3A
FALSE	3.3	O60684	O60684 Importin subunit alpha-7 OS=Homo sapiens OX=9606 GN=KPNA6 PE=1 SV=1	4uadA
FALSE	3.3	P96649	P96649 Response regulator aspartate phosphatase I OS=Bacillus subtilis (strain 168) OX=224308 GN=rapI PE=1 SV=1	4i1aA,4i1aB
FALSE	4.2	C3YKQ3	C3YKQ3 Uncharacterized protein OS=Branchiostoma floridae OX=7739 GN=BRAFLDRAFT_63256 PE=1 SV=1	4dknA
FALSE	3.3	G5DDY8	G5DDY8 NprR (Fragment) OS=Bacillus thuringiensis serovar thuringiensis OX=1432 GN=nprR PE=1 SV=1	4gpkA
FALSE	4.4	Q05583	Q05583 Cytosolic iron-sulfur protein assembly protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CIA1 PE=1 SV=1	2hesX
FALSE	3.3	Q9U7C3	Q9U7C3 Peroxisome targeting signal 1 receptor PEX5 OS=Trypanosoma brucei OX=5691 PE=1 SV=1	3cvlA,3cvnA
FALSE	4.6	Q08603	Q08603 Geranylgeranyl transferase type-2 subunit beta OS=Rattus norvegicus OX=10116 GN=Rabggtb PE=1 SV=1	1dceB
FALSE	4.4	Q2UNX8	Q2UNX8 Fucose-specific lectin OS=Aspergillus oryzae (strain ATCC 42149 / RIB 40) OX=510516 GN=fleA PE=1 SV=1	5eo7A,5eo7B,5eo7C,5eo8A,5h47A,5h47B,5h47C,5h47D,5h47E,5h47F,5h47G,5h47H,5h47I,5h47J,5h47K,5h47L
FALSE	4.1	P58315	P58315 Fructose-bisphosphate aldolase class 1 OS=Thermoproteus tenax (strain ATCC 35583 / DSM 2078 / JCM 9277 / NBRC 100435 / Kra 1) OX=768679 GN=fba PE=1 SV=1	1ojxA,1ojxB,1ojxC,1ojxD,1ojxE,1ojxF,1ojxG,1ojxH,1ojxI,1ojxJ,1ok4A,1ok4B,1ok4C,1ok4D,1ok4E,1ok4F,1ok4G,1ok4H,1ok4I,1ok4J,1ok6A,1ok6B,1ok6C,1ok6D,1ok6E,1ok6F,1ok6G,1ok6H,1ok6I,1ok6J,1w8sA,1w8sB,1w8sC,1w8sD,1w8sE,1w8sF,1w8sG,1w8sH,1w8sI,1w8sJ,2yceA,2yceB,2yceC,2yceD,2yceE,2yceF,2yceG,2yceH,2yceI,2yceJ
FALSE	4.2	P17315	P17315 Colicin I receptor OS=Escherichia coli (strain K12) OX=83333 GN=cirA PE=1 SV=2	2hdfA
FALSE	3.3	Q5LCY3	Q5LCY3 Photosystem I assembly protein Ycf3 OS=Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / NCTC 9343 / Onslow) OX=272559 GN=BF9343_2249 PE=1 SV=1	4i17A
FALSE	4.4	Q50KB2	Q50KB2 Galactan 1,3-beta-galactosidase OS=Phanerodontia chrysosporium OX=2822231 PE=1 SV=1	7byvA
FALSE	4.1	A9GEI3	A9GEI3 Dipeptide epimerase OS=Sorangium cellulosum (strain So ce56) OX=448385 GN=sce2857 PE=1 SV=1	3s5sA
FALSE	3.3	G1SNM3	G1SNM3 Transient receptor potential cation channel subfamily V member 2 OS=Oryctolagus cuniculus OX=9986 GN=TRPV2 PE=1 SV=2	6bwjA
FALSE	4.2	Q6RYS7	Q6RYS7 Yellow fluorescent protein OS=Phialidium sp. SL-2003 OX=258839 PE=1 SV=1	4he4A
FALSE	5.5	Q0E9K4	Q0E9K4 Down syndrome cell adhesion molecule 1, isoform BE OS=Drosophila melanogaster OX=7227 GN=Dscam1 PE=1 SV=1	2v5rA,2v5rB,4x9fA,4x9fB
FALSE	4.1,4.5,4.4	P20701	P20701 Integrin alpha-L OS=Homo sapiens OX=9606 GN=ITGAL PE=1 SV=3	1cqpA,1dgqA,1lfaA,1mjnA,1mq9A,1rd4A,1rd4B,1rd4D,1t0pA,1xddA,1xddB,1xdgA,1xdgB,1xuoB,1zopB,2icaA,2o7nA,3bn3A,3bqmB,3bqmC,3bqnB,3bqnC,3e2mA,3e2mB,3f74A,3f78A,3f78B,3m6fA,3tcxF,3tcxN,3tcxR,3tcxX,4ixdA,5e6rA,5e6sC,5e6sE,5e6uA
FALSE	3.4,4.4	Q9IH62	Q9IH62 Glycoprotein G OS=Nipah virus OX=121791 GN=G PE=1 SV=1	2vsmA,2vwdA,2vwdB,3d11A,3d12A,3d12D
FALSE	3.3	Q57W55	Q57W55 Peroxisome targeting signal 1 receptor OS=Trypanosoma brucei brucei (strain 927/4 GUTat10.1) OX=185431 GN=Tb927.5.1100 PE=1 SV=1	3cv0A,3cvpA,3cvqA
FALSE	3.1	Q8YQS9	Q8YQS9 All3740 protein OS=Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690 GN=all3740 PE=1 SV=1	3du1X
FALSE	4.1	Q8U192	Q8U192 Thiamine-phosphate synthase OS=Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1) OX=186497 GN=thiE PE=1 SV=1	1xi3A,1xi3B
FALSE	3.4	A0A2H4A2M1	A0A2H4A2M1 Dextransucrase OS=Leuconostoc citreum OX=33964 GN=dsrV PE=1 SV=1	5lfcA
FALSE	4.1	Q5CPK7	Q5CPK7 Inosine-5-monophosphate dehydrogenase (Fragment) OS=Cryptosporidium parvum (strain Iowa II) OX=353152 GN=cgd6_20 PE=1 SV=1	3khjA,3khjB,3khjE,3khjG
FALSE	4.4	Q9HXJ7	Q9HXJ7 Outer membrane protein assembly factor BamB OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=bamB PE=1 SV=1	4hdjA
FALSE	4.4	Q8WUM0	Q8WUM0 Nuclear pore complex protein Nup133 OS=Homo sapiens OX=9606 GN=NUP133 PE=1 SV=2	1xksA
FALSE		Q9XZ31	Q9XZ31 Anastral spindle 2, isoform A OS=Drosophila melanogaster OX=7227 GN=ana2 PE=1 SV=1	4by2A,4by2B,4by2C
FALSE	3.3	Q9Z2G0	Q9Z2G0 Protein fem-1 homolog B OS=Mus musculus OX=10090 GN=Fem1b PE=1 SV=1	7royA,7royB,7royC,7royD
FALSE	4.2	P42512	P42512 Fe(3+)-pyochelin receptor OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=fptA PE=1 SV=1	1xkwA
FALSE	4.4	P0C581	P0C581 PAN2-PAN3 deadenylation complex catalytic subunit pan2 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=par-1 PE=1 SV=2	4czvA,4czvB,4czxA,4czyA,4czyC
FALSE	3.1,2.2	Q9XD56	Q9XD56 UspA1 OS=Moraxella catarrhalis OX=480 GN=uspA1 PE=1 SV=1	3ntnC,3pr7A,6qp4A,6qp4B,6qp4C
FALSE	4.1	A0A0H2WWB5	A0A0H2WWB5 o-succinylbenzoate synthase OS=Staphylococcus aureus (strain COL) OX=93062 GN=menC PE=1 SV=1	2oktA
FALSE	3.3	Q9Y5L0	Q9Y5L0 Transportin-3 OS=Homo sapiens OX=9606 GN=TNPO3 PE=1 SV=3	4c0oA,4c0oB,4c0pA,4c0pB,4c0pC,4c0pD,4c0qA,4c0qB,4ol0B,6gx9A,6gx9B
FALSE	3.3	Q12453	Q12453 Cytoplasmic export protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CEX1 PE=1 SV=1	3vwaA,3vwaB
FALSE	5.2	P08174	P08174 Complement decay-accelerating factor OS=Homo sapiens OX=9606 GN=CD55 PE=1 SV=4	1ojvA,1ojvB,1ojwA,1ojwB,1ojyA,1ojyB,1ojyC,1ojyD,1ok1A,1ok1B,1ok2A,1ok2B,1ok3A,1ok3B,1ok9A,1ok9B,3iypF,3j24B,5foaE,5foaF,6iljE,6ilkE
FALSE	4.1	P60174	P60174 Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=4	1htiA,1htiB,1wyiA,1wyiB,2jk2A,2jk2B,2vomA,2vomB,2vomC,2vomD,4br1A,4br1B,4pocA,4pocB,4podA,4podB,4unkA,4unkB,4unlA,4unlB,4zvjA,4zvjB,6c2gA,6c2gB,6c2gC,6c2gD,6d43A,6d43B,6nlhA,6nlhB,6nlhC,6nlhD,6nlhE,6nlhF,6nlhG,6nlhH
FALSE	4.1	Q59232	Q59232 Cellulase OS=Bacillus sp. OX=1409 PE=1 SV=1	1lf1A
FALSE	4.2	P02753	P02753 Retinol-binding protein 4 OS=Homo sapiens OX=9606 GN=RBP4 PE=1 SV=3	1brpA,1brqA,3fmzB
FALSE	4.1	P00875	P00875 Ribulose bisphosphate carboxylase large chain OS=Spinacia oleracea OX=3562 GN=rbcL PE=1 SV=1	1aa1B,1aa1E,1aa1H,1aa1L
FALSE	4.2	B4F366	B4F366 Virulence associated protein VapB OS=Rhodococcus hoagii OX=43767 GN=pVAPB_vapB PE=1 SV=1	4cv7A
FALSE	4.2	A0A493R6W9	A0A493R6W9 Short afifavidin OS=Afifella pfennigii OX=209897 PE=1 SV=1	6hdsA
FALSE	4.1	Q7DDU0	Q7DDU0 Polysialic acid capsule biosynthesis protein SiaC OS=Neisseria meningitidis serogroup B (strain MC58) OX=122586 GN=siaC PE=1 SV=1	2wqpA
FALSE	5.3	Q9STM3	Q9STM3 Lysine-specific demethylase REF6 OS=Arabidopsis thaliana OX=3702 GN=REF6 PE=1 SV=1	6a57A
FALSE	4.6	P0DKY4	P0DKY4 Cellobiose 2-epimerase OS=Ruminococcus albus OX=1264 GN=ce-ne1 PE=1 SV=1	3vw5A
FALSE	3.1	A0A7G1KW31	A0A7G1KW31 Alpha-1,3-glucanase OS=Streptomyces thermodiastaticus OX=44061 GN=AglST PE=1 SV=1	7c7dA
FALSE	3.3	P58546	P58546 Myotrophin OS=Homo sapiens OX=9606 GN=MTPN PE=1 SV=2	3aaaC
FALSE	4.1	Q607C7	Q607C7 L-Lys-D/L-Arg epimerase OS=Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath) OX=243233 GN=MCA1834 PE=1 SV=1	3ritA,3ritB,3ritC,3ritD,3ritE,3ro6A,3ro6B,3ro6C,3ro6D,3ro6E,3ro6F
FALSE	4.4	Q93RE9	Q93RE9 Alcohol dehydrogenase OS=Pseudogluconobacter saccharoketogenes OX=133921 GN=adh PE=1 SV=1	4cvbA,4cvcA
FALSE	3.3	P39016	P39016 Suppressor protein MPT5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MPT5 PE=1 SV=2	5bymA,5bz1A,5bz5A,5bzuA,5bzvA
FALSE	4.4	Q8P8M4	Q8P8M4 Glutamine cyclotransferase OS=Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25) OX=190485 GN=XCC2216 PE=1 SV=1	3mbrX
FALSE	4.2	Q9V1J7	Q9V1J7 tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase TrmI OS=Pyrococcus abyssi (strain GE5 / Orsay) OX=272844 GN=trmI PE=1 SV=1	3lgaA,3lgaB,3lgaC,3lgaD,3lhdA,3lhdB,3lhdC,3lhdD,3mb5A
FALSE	4.4	G1SZ03	G1SZ03 Eukaryotic translation initiation factor 3 subunit B OS=Oryctolagus cuniculus OX=9986 GN=EIF3B PE=1 SV=1	5a5uB
FALSE	3.1	P26214	P26214 Endopolygalacturonase II OS=Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 / NCTC 3858a / NRRL 328 / USDA 3528.7) OX=380704 GN=pgaII PE=1 SV=1	1czfA,1czfB
FALSE	4.4	Q5LGG4	Q5LGG4 3-carboxymuconate cyclase OS=Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / NCTC 9343 / Onslow) OX=272559 GN=BF9343_0994 PE=1 SV=1	3scyA
FALSE	4.1	Q57700	Q57700 Orotidine 5'-phosphate decarboxylase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=pyrF PE=1 SV=2	4luiA,4luiB,4lujA,4lujB
FALSE	4.1	O58462	O58462 Orotidine 5'-phosphate decarboxylase OS=Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3) OX=70601 GN=pyrF PE=1 SV=2	2cz5A,2cz5B,2czdA,2czdB,2czeA,2czeB,2czfA,2czfB
FALSE	4.2	E3SMK9	E3SMK9 Antenna protein OS=Prochlorococcus phage P-HM1 OX=445700 GN=cpeT PE=1 SV=1	5hi8A
FALSE	3.1	B8HDZ1	B8HDZ1 Inulin fructotransferase (DFA-I-forming) OS=Pseudarthrobacter chlorophenolicus (strain ATCC 700700 / DSM 12829 / CIP 107037 / JCM 12360 / KCTC 9906 / NCIMB 13794 / A6) OX=452863 GN=Achl_2895 PE=1 SV=1	5zksA
FALSE	3.3	G0SFF5	G0SFF5 GTPase activator-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0061860 PE=1 SV=1	5hiuA,5hiuB,5hiuC,5hiuD
FALSE	4.1	A4YVM8	A4YVM8 Putative Mandelate racemase/muconate lactonizing enzyme family protein OS=Bradyrhizobium sp. (strain ORS 278) OX=114615 GN=BRADO4202 PE=1 SV=1	3toyA,3toyD
FALSE	4.4	P74334	P74334 Apocarotenoid-15,15'-oxygenase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1541 PE=1 SV=1	2biwA,2biwB,2biwC,2biwD,2bixA,2bixB,4ou8A,4ou8B,4ou8C,4ou8D,4ou9A,4ou9B,4ou9C,4ou9D,5kjaA,5kjaB,5kjaC,5kjaD,5kjaE,5kjbA,5kjbB,5kjbC,5kjbD,5kjbE,5kjdA,5kjdB,5kjdC,5kjdD,5kjdE,5kk0B,5kk0C,5kk0D,6bigA,6bigB,6bigC,6bigD,6c7oA,6c7oB,6c7pA,6c7pB
FALSE	3.1	P0CD76	P0CD76 UDP-3-O-acylglucosamine N-acyltransferase OS=Chlamydia trachomatis (strain D/UW-3/Cx) OX=272561 GN=lpxD PE=1 SV=1	2iu8A,2iu8B,2iu8C,2iu9A,2iu9B,2iu9C,2iuaA,2iuaB,2iuaC
FALSE	3.2	O22476	O22476 Protein BRASSINOSTEROID INSENSITIVE 1 OS=Arabidopsis thaliana OX=3702 GN=BRI1 PE=1 SV=1	3rgxA,3rgzA,3rizA,3rj0A,4lsxA,4m7eA
